Greek Word,Frequency Rank,Theme,Level,French Translation,Part of Speech
η επίδειξη,2173,Sports (General),1,,
το γυμναστήριο,2237,Sports (General),1,,
η εξάσκηση,2434,Sports (General),1,,
η προπόνηση,2459,Sports (General),1,,
ο τζούνιορ,2562,Sports (General),1,,
το πρωτάθλημα,2782,Sports (General),1,,
η δοκιμασία,2835,Sports (General),1,,
η εκδήλωση,2917,Sports (General),1,,
ο προπονητής,2948,Sports (General),1,,
ο πρωταθλητής,3022,Sports (General),1,,
η ξεκούραση,3233,Sports (General),1,,
το ξεκουράσου,3393,Sports (General),1,,
η πίστα,3549,Sports (General),1,,
ο σπορ,3603,Sports (General),1,,
η εκδρομή,3905,Sports (General),1,,
η τουρνουά,4023,Sports (General),1,,
η παρέλαση,4054,Sports (General),1,,
ο σκοπευτής,4075,Sports (General),1,,
το παιχνιδάκι,4349,Sports (General),2,,
ο ενθουσιασμός,4808,Sports (General),2,,
η ανάπαυση,4812,Sports (General),2,,
η προετοιμασία,4958,Sports (General),2,,
το άθλημα,5288,Sports (General),2,,
το μπιτς,5607,Sports (General),2,,
το καράτε,5729,Sports (General),2,,
η μονομαχία,5806,Sports (General),2,,
επιθετικός,6045,Sports (General),2,,
ο αντίπαλος,6120,Sports (General),2,,
ο αθλητής,7071,Sports (General),2,,
το παιγνίδι,7132,Sports (General),2,,
ο σύλλογος,7142,Sports (General),2,,
μαχητικός,8073,Sports (General),2,,
η ψυχαγωγία,8307,Sports (General),2,,
ολυμπιακός,8563,Sports (General),2,,
ο μαραθώνιος,8946,Sports (General),2,,
αγωνιστεί,8953,Sports (General),2,,
ο τζόγος,9152,Sports (General),2,,
το φούτμπολ,9390,Sports (General),2,,
το πρωταθλήμα,9573,Sports (General),2,,
κατακτώ / κατάκτησα,9628,Sports (General),2,,
η αναμέτρηση,9978,Sports (General),2,,
η ησυχία,630,Outdoors & Nature,1,,
η θάλασσα,699,Outdoors & Nature,1,,
το δάσος,800,Outdoors & Nature,1,,
το νησί,832,Outdoors & Nature,1,,
το χωριό,930,Outdoors & Nature,1,,
το δέντρο,1010,Outdoors & Nature,1,,
η φύση,1115,Outdoors & Nature,1,,
η μαγεία,1188,Outdoors & Nature,1,,
το ποτάμι,1220,Outdoors & Nature,1,,
η λίμνη,1240,Outdoors & Nature,1,,
η ομορφιά,1447,Outdoors & Nature,1,,
το βουνό,1570,Outdoors & Nature,1,,
το καταφύγιο,1679,Outdoors & Nature,1,,
άγρια,1718,Outdoors & Nature,1,,
η ακτή,1793,Outdoors & Nature,1,,
το μονοπάτι,1834,Outdoors & Nature,1,,
πανέμορφη,1842,Outdoors & Nature,1,,
η έρημος,2008,Outdoors & Nature,1,,
πανέμορφο,2033,Outdoors & Nature,1,,
το χιόνι,2115,Outdoors & Nature,1,,
το πέρασμα,2536,Outdoors & Nature,1,,
η σπηλιά,2665,Outdoors & Nature,1,,
το βάλτο,2712,Outdoors & Nature,1,,
η κοιλάδα,2855,Outdoors & Nature,1,,
η καλύβα,2885,Outdoors & Nature,1,,
περπατώ / περπάτησα,3137,Outdoors & Nature,1,,
ο ομίχλης,3416,Outdoors & Nature,1,,
ο βράχος,3504,Outdoors & Nature,1,,
το πάτι,3830,Outdoors & Nature,1,,
το κολύμπι,3867,Outdoors & Nature,1,,
η εξοχή,3884,Outdoors & Nature,2,,
το μοναστήρι,4016,Outdoors & Nature,2,,
το πηγάδι,4584,Outdoors & Nature,2,,
η κρυψώνα,4592,Outdoors & Nature,2,,
στεριά,4595,Outdoors & Nature,2,,
το ηλιοβασίλεμα,4640,Outdoors & Nature,2,,
το ορφανοτροφείο,4713,Outdoors & Nature,2,,
ο περίπατος,5025,Outdoors & Nature,2,,
η φοίνιξ,5046,Outdoors & Nature,2,,
το ερήμου,5507,Outdoors & Nature,2,,
το γκι,5519,Outdoors & Nature,2,,
το δρομάκι,5615,Outdoors & Nature,2,,
το φαράγγι,5668,Outdoors & Nature,2,,
το ωκεανούς,5839,Outdoors & Nature,2,,
η βουνού,5850,Outdoors & Nature,2,,
το τοπίο,5949,Outdoors & Nature,2,,
το ηφαίστειο,6147,Outdoors & Nature,2,,
η ιππασία,6796,Outdoors & Nature,2,,
το κλαδί,6852,Outdoors & Nature,2,,
ο σαβάνας,6870,Outdoors & Nature,2,,
το χαντάκι,7092,Outdoors & Nature,2,,
η περπατούσα,7230,Outdoors & Nature,2,,
το λιβάδι,7380,Outdoors & Nature,2,,
η κρύπτη,7532,Outdoors & Nature,2,,
η χιονάτη,7736,Outdoors & Nature,2,,
ζούγκλας,7802,Outdoors & Nature,2,,
η κατάδυση,7834,Outdoors & Nature,2,,
το έλκηθρο,7939,Outdoors & Nature,2,,
περπατά,8020,Outdoors & Nature,2,,
η μούμια,8074,Outdoors & Nature,2,,
το ρυάκι,8207,Outdoors & Nature,3,,
θαλάσσιος,8255,Outdoors & Nature,3,,
ο ακτής,8415,Outdoors & Nature,3,,
η ερημιά,8459,Outdoors & Nature,3,,
η πεζοπορία,8605,Outdoors & Nature,3,,
το ύπαιθρο,8726,Outdoors & Nature,3,,
το κιβωτό,9292,Outdoors & Nature,3,,
το σούρουπο,9341,Outdoors & Nature,3,,
το κολυμπήσω,9490,Outdoors & Nature,3,,
αφθονία,9512,Outdoors & Nature,3,,
το θάμνο,9825,Outdoors & Nature,3,,
το κούτσουρο,9940,Outdoors & Nature,3,,
η περίπτωση,350,Admin & Bureaucracy,1,,
η ερώτηση,388,Admin & Bureaucracy,1,,
η άδεια,445,Admin & Bureaucracy,1,,
η απόφαση,594,Admin & Bureaucracy,1,,
η αναφορά,642,Admin & Bureaucracy,1,,
η υπηρεσία,751,Admin & Bureaucracy,1,,
η διεύθυνση,777,Admin & Bureaucracy,1,,
η πρόταση,932,Admin & Bureaucracy,1,,
η διαταγή,1045,Admin & Bureaucracy,1,,
η ευθύνη,1062,Admin & Bureaucracy,1,,
η εντολή,1195,Admin & Bureaucracy,1,,
η πράξη,1263,Admin & Bureaucracy,1,,
οποιονδήποτε,1414,Admin & Bureaucracy,1,,
η οδηγία,1421,Admin & Bureaucracy,1,,
η επιτροπή,1491,Admin & Bureaucracy,1,,
η δικαιολογία,1593,Admin & Bureaucracy,1,,
εφόσον,1614,Admin & Bureaucracy,1,,
η αίτηση,1626,Admin & Bureaucracy,1,,
η επιταγή,1657,Admin & Bureaucracy,1,,
η εξέταση,1672,Admin & Bureaucracy,1,,
δημόσιος,1697,Admin & Bureaucracy,1,,
άμεσα,1771,Admin & Bureaucracy,1,,
ο ντος,1794,Admin & Bureaucracy,1,,
το έγγραφο,1822,Admin & Bureaucracy,1,,
η κατάθεση,1845,Admin & Bureaucracy,1,,
η δήλωση,1963,Admin & Bureaucracy,1,,
η υπογραφή,1974,Admin & Bureaucracy,1,,
η προειδοποίηση,2019,Admin & Bureaucracy,1,,
η πρόσκληση,2153,Admin & Bureaucracy,1,,
η διοίκηση,2292,Admin & Bureaucracy,1,,
η ανάκριση,2293,Admin & Bureaucracy,2,,
η αγωγή,2357,Admin & Bureaucracy,2,,
ο υπάλληλος,2390,Admin & Bureaucracy,2,,
ιδιωτικός,2394,Admin & Bureaucracy,2,,
η πρόθεση,2396,Admin & Bureaucracy,2,,
η άδειά,2518,Admin & Bureaucracy,2,,
η ιδιοκτησία,2603,Admin & Bureaucracy,2,,
η επιστολή,2688,Admin & Bureaucracy,2,,
η ένσταση,2849,Admin & Bureaucracy,2,,
η σύνταξη,2863,Admin & Bureaucracy,2,,
η ανακοίνωση,2872,Admin & Bureaucracy,2,,
η καθυστέρηση,2887,Admin & Bureaucracy,2,,
προηγουμένως,3157,Admin & Bureaucracy,2,,
η παραβίαση,3182,Admin & Bureaucracy,2,,
η προτεραιότητα,3198,Admin & Bureaucracy,2,,
αποδεικτικό,3213,Admin & Bureaucracy,2,,
καταθέσει / κατάθεσε,3273,Admin & Bureaucracy,2,,
η εξαίρεση,3334,Admin & Bureaucracy,2,,
η αναστολή,3420,Admin & Bureaucracy,2,,
η αντίρρηση,3441,Admin & Bureaucracy,2,,
η έγκριση,3476,Admin & Bureaucracy,2,,
η αλληλογραφία,3672,Admin & Bureaucracy,2,,
η επιβεβαίωση,3767,Admin & Bureaucracy,2,,
το δικαστηρίου,3775,Admin & Bureaucracy,2,,
η υποχρέωση,3793,Admin & Bureaucracy,2,,
το αίτημα,3796,Admin & Bureaucracy,2,,
η διεύθυνσή,3802,Admin & Bureaucracy,2,,
το πιστοποιητικό,3986,Admin & Bureaucracy,2,,
υποχρεωμένος,4019,Admin & Bureaucracy,2,,
η απαίτηση,4060,Admin & Bureaucracy,2,,
προσωρινά,4099,Admin & Bureaucracy,3,,
προσωρινός,4100,Admin & Bureaucracy,3,,
αυτοπροσώπως,4196,Admin & Bureaucracy,3,,
η δικαιοδοσία,4281,Admin & Bureaucracy,3,,
νόμιμα,4417,Admin & Bureaucracy,3,,
προκειμένου,4459,Admin & Bureaucracy,3,,
η επιτήρηση,4545,Admin & Bureaucracy,3,,
η δέσμευση,4638,Admin & Bureaucracy,3,,
η αποζημίωση,4670,Admin & Bureaucracy,3,,
η καταγγελία,4682,Admin & Bureaucracy,3,,
η κατάθεσή,4742,Admin & Bureaucracy,3,,
το βεβαιώσου,4792,Admin & Bureaucracy,3,,
η ετυμηγορία,4849,Admin & Bureaucracy,3,,
ο πληροφοριοδότης,4910,Admin & Bureaucracy,3,,
η πρόνοια,5117,Admin & Bureaucracy,3,,
η σύσταση,5179,Admin & Bureaucracy,3,,
καταθέσω,5197,Admin & Bureaucracy,3,,
η προθεσμία,5212,Admin & Bureaucracy,3,,
η εισαγγελία,5266,Admin & Bureaucracy,3,,
το απολύσω,5323,Admin & Bureaucracy,3,,
η ειδοποίηση,5371,Admin & Bureaucracy,3,,
η συναλλαγή,5397,Admin & Bureaucracy,3,,
η αξιολόγηση,5536,Admin & Bureaucracy,3,,
εγκρίνω / ενέκρινα,5629,Admin & Bureaucracy,3,,
η απαγόρευση,5635,Admin & Bureaucracy,3,,
ο υποθέσεων,5775,Admin & Bureaucracy,3,,
το συντ,5931,Admin & Bureaucracy,3,,
η εξουσιοδότηση,5996,Admin & Bureaucracy,3,,
η χρηματοδότηση,6037,Admin & Bureaucracy,3,,
η παροχή,6101,Admin & Bureaucracy,3,,
η αποφοίτηση,6136,Admin & Bureaucracy,4,,
η υιοθεσία,6165,Admin & Bureaucracy,4,,
η παρέμβαση,6206,Admin & Bureaucracy,4,,
η εγγραφή,6315,Admin & Bureaucracy,4,,
η διαχείριση,6317,Admin & Bureaucracy,4,,
η ανακοπή,6509,Admin & Bureaucracy,4,,
η ειδικότητα,6529,Admin & Bureaucracy,4,,
η σύμβαση,6585,Admin & Bureaucracy,4,,
η συνέλευση,6649,Admin & Bureaucracy,4,,
δικαιούμαι / δικαιώθηκα,6783,Admin & Bureaucracy,4,,
η καθαρίστρια,6817,Admin & Bureaucracy,4,,
η παράβαση,6825,Admin & Bureaucracy,4,,
η επήρεια,6869,Admin & Bureaucracy,4,,
η υπενθύμιση,6900,Admin & Bureaucracy,4,,
η βίζα,6930,Admin & Bureaucracy,4,,
η μετάθεση,6939,Admin & Bureaucracy,4,,
ανώνυμη,7015,Admin & Bureaucracy,4,,
ο ειδικότητάς,7069,Admin & Bureaucracy,4,,
η ρύθμιση,7086,Admin & Bureaucracy,4,,
η κατάχρηση,7171,Admin & Bureaucracy,4,,
η ασφάλιση,7181,Admin & Bureaucracy,4,,
η διαμαρτυρία,7182,Admin & Bureaucracy,4,,
η συγχώνευση,7269,Admin & Bureaucracy,4,,
η περίθαλψη,7295,Admin & Bureaucracy,4,,
η μεταχείριση,7328,Admin & Bureaucracy,4,,
ο θυρωρός,7348,Admin & Bureaucracy,4,,
η αποδοχή,7358,Admin & Bureaucracy,4,,
η αδεια,7376,Admin & Bureaucracy,4,,
η διάταξη,7509,Admin & Bureaucracy,4,,
η ταυτοποίηση,7859,Admin & Bureaucracy,4,,
διοικώ / διοίκησα,7872,Admin & Bureaucracy,5,,
η προϋπόθεση,7906,Admin & Bureaucracy,5,,
η απογραφή,8029,Admin & Bureaucracy,5,,
οι μηνύσεις,8054,Admin & Bureaucracy,5,,
η εκκρεμότητα,8060,Admin & Bureaucracy,5,,
η αίτημά,8069,Admin & Bureaucracy,5,,
η πρόβλεψη,8161,Admin & Bureaucracy,5,,
η ιδιότητα,8216,Admin & Bureaucracy,5,,
επιτραπεί,8348,Admin & Bureaucracy,5,,
η παραίτηση,8433,Admin & Bureaucracy,5,,
η απολογία,8476,Admin & Bureaucracy,5,,
καταρχήν,8638,Admin & Bureaucracy,5,,
ο αντιπρόσωπος,8737,Admin & Bureaucracy,5,,
η ανάληψη,8817,Admin & Bureaucracy,5,,
αναγκασμένος,8836,Admin & Bureaucracy,5,,
ο εργοδότης,8837,Admin & Bureaucracy,5,,
η διορία,8867,Admin & Bureaucracy,5,,
καταρχάς,8909,Admin & Bureaucracy,5,,
η σημείωση,8960,Admin & Bureaucracy,5,,
υπόχρεος,9042,Admin & Bureaucracy,5,,
η ακύρωση,9083,Admin & Bureaucracy,5,,
η παράταση,9086,Admin & Bureaucracy,5,,
το παράρτημα,9116,Admin & Bureaucracy,5,,
η κλήτευση,9405,Admin & Bureaucracy,5,,
η απόλυση,9478,Admin & Bureaucracy,5,,
ο υπαλλήλων,9546,Admin & Bureaucracy,5,,
η αμνηστία,9576,Admin & Bureaucracy,5,,
η παράκληση,9610,Admin & Bureaucracy,5,,
η έξωση,9673,Admin & Bureaucracy,5,,
εξασφαλίσω,9732,Admin & Bureaucracy,5,,
η αρμοδιότητα,9820,Admin & Bureaucracy,6,,
η ερωτηση,9938,Admin & Bureaucracy,6,,
η λεφτά,151,Economy & Money,1,,
το χρήμα,253,Economy & Money,1,,
η τράπεζα,764,Economy & Money,1,,
ο λογαριασμός,890,Economy & Money,1,,
επιπλέον,1037,Economy & Money,1,,
πληρώσω / πλήρωσα,1039,Economy & Money,1,,
πληρώνω / πλήρωσα,1109,Economy & Money,1,,
η αγορά,1161,Economy & Money,1,,
η μετρητα,1206,Economy & Money,1,,
η αξία,1262,Economy & Money,1,,
η περιουσία,1360,Economy & Money,1,,
η δεκάρα,1497,Economy & Money,1,,
η τσέπη,1537,Economy & Money,1,,
το αντάλλαγμα,1778,Economy & Money,1,,
οικονομικά,1924,Economy & Money,1,,
εμπορικός,2368,Economy & Money,1,,
το κόστος,2412,Economy & Money,1,,
η προμήθεια,2559,Economy & Money,1,,
η πώληση,2646,Economy & Money,1,,
το μάρκο,2704,Economy & Money,1,,
η κέρδη,2788,Economy & Money,1,,
το κέρδος,2790,Economy & Money,1,,
η παραγωγή,2808,Economy & Money,1,,
το μερίδιο,2842,Economy & Money,1,,
πιστωτικός,2876,Economy & Money,1,,
ο χρημάτων,2961,Economy & Money,1,,
οικονομικός,3027,Economy & Money,1,,
καύσιμα,3045,Economy & Money,1,,
η οικονομία,3133,Economy & Money,1,,
οι καταθέσεις,3188,Economy & Money,1,,
η πληρωμή,3209,Economy & Money,2,,
το νοίκι,3299,Economy & Money,2,,
η βιομηχανία,3352,Economy & Money,2,,
το εμπόριο,3431,Economy & Money,2,,
το ταμείο,3548,Economy & Money,2,,
το πετρέλαιο,3582,Economy & Money,2,,
χρωστάει / χρωστούσε,3586,Economy & Money,2,,
παράνομα,3625,Economy & Money,2,,
ο παραγωγός,3734,Economy & Money,2,,
ο φόρος,3790,Economy & Money,2,,
η προκαταβολή,3874,Economy & Money,2,,
η λύτρα,3973,Economy & Money,2,,
το νόμισμα,4015,Economy & Money,2,,
το μερίδιό,4209,Economy & Money,2,,
η τσάμπα,4219,Economy & Money,2,,
το κορόιδο,4228,Economy & Money,2,,
το ενοίκιο,4503,Economy & Money,2,,
η νομίσματα,4788,Economy & Money,2,,
το φιλοδώρημα,4840,Economy & Money,2,,
ασφαλιστικός,4891,Economy & Money,2,,
το έμπορο,5564,Economy & Money,2,,
φαρμακευτικός,5791,Economy & Money,2,,
ο ανταγωνισμός,5831,Economy & Money,2,,
η χαρτονομίσματα,6087,Economy & Money,2,,
πλαστά,6100,Economy & Money,2,,
η πίστωση,6142,Economy & Money,2,,
τα ψίχουλα,6279,Economy & Money,2,,
η υποθήκη,6297,Economy & Money,2,,
ο προϋπολογισμός,6304,Economy & Money,2,,
το εισόδημα,6599,Economy & Money,2,,
η εφορία,6823,Economy & Money,3,,
το χρηματιστήριο,6879,Economy & Money,3,,
τραπεζικός,6895,Economy & Money,3,,
ασφάλειες,6914,Economy & Money,3,,
η δάνεια,7016,Economy & Money,3,,
το εμπόρους,7083,Economy & Money,3,,
το λαθρεμπόριο,7386,Economy & Money,3,,
πληρωθεί,7581,Economy & Money,3,,
η ομόλογα,7643,Economy & Money,3,,
η ζήτηση,7702,Economy & Money,3,,
το έσοδο,7752,Economy & Money,3,,
χρηματος,8139,Economy & Money,3,,
κρατικός,8293,Economy & Money,3,,
προκαταβολικά,8403,Economy & Money,3,,
η κατανάλωση,8468,Economy & Money,3,,
παραγγείλει / παράγγειλε,8623,Economy & Money,3,,
πληρωθώ / πληρωθούσα,8739,Economy & Money,3,,
ο τραπεζών,8812,Economy & Money,3,,
πληρώνεται / πληρώθηκε,8863,Economy & Money,3,,
ο ανταγωνιστής,8882,Economy & Money,3,,
οι επανορθώσεις,8900,Economy & Money,3,,
οι ξεπληρώσεις,9064,Economy & Money,3,,
ο τραπεζίτης,9232,Economy & Money,3,,
το λάφυρο,9307,Economy & Money,3,,
εμπορικά,9403,Economy & Money,3,,
τακτοποιηθεί,9460,Economy & Money,3,,
το χαρτζιλίκι,9606,Economy & Money,3,,
ο ακινήτων,9726,Economy & Money,3,,
το τόκο,9772,Economy & Money,3,,
και,4,Society & Relationships,1,,
όχι,15,Society & Relationships,1,,
αλλά,19,Society & Relationships,1,,
πολύ,22,Society & Relationships,1,,
γιατί,23,Society & Relationships,1,,
τόσο,49,Society & Relationships,1,,
ακόμα,55,Society & Relationships,1,,
ίσως,60,Society & Relationships,1,,
πάντα,69,Society & Relationships,1,,
η αλήθεια,75,Society & Relationships,1,,
το παιδί,78,Society & Relationships,1,,
η ζωή,80,Society & Relationships,1,,
επειδή,85,Society & Relationships,1,,
κάποιος,95,Society & Relationships,1,,
το πράγμα,97,Society & Relationships,1,,
όμως,99,Society & Relationships,1,,
η γυναίκα,102,Society & Relationships,1,,
ακριβώς,107,Society & Relationships,1,,
φυσικά,121,Society & Relationships,1,,
η στιγμή,125,Society & Relationships,1,,
πραγματικά,134,Society & Relationships,1,,
πιστεύω / πίστευσα,138,Society & Relationships,1,,
η μητέρα,141,Society & Relationships,1,,
η ιδέα,145,Society & Relationships,1,,
σίγουρα,150,Society & Relationships,1,,
μάλλον,153,Society & Relationships,1,,
σημαίνω / σήμανα,155,Society & Relationships,1,,
ο κόσμος,164,Society & Relationships,1,,
η αγάπη,172,Society & Relationships,1,,
ο άνθρωπος,174,Society & Relationships,1,,
καταλαβαίνω / κατάλαβα,175,Society & Relationships,2,,
ο εαυτός,186,Society & Relationships,2,,
εκείνος,205,Society & Relationships,2,,
καθόλου,208,Society & Relationships,2,,
η ιστορία,213,Society & Relationships,2,,
πιστεύεις,218,Society & Relationships,2,,
η σχέση,222,Society & Relationships,2,,
η οικογένεια,251,Society & Relationships,2,,
η καρδιά,264,Society & Relationships,2,,
βέβαια,278,Society & Relationships,2,,
το συγχωρείτε,309,Society & Relationships,2,,
προσπαθώ / προσπάθησα,334,Society & Relationships,2,,
μπορούσε,337,Society & Relationships,2,,
το πρόσεχε,365,Society & Relationships,2,,
το πρόσωπο,378,Society & Relationships,2,,
η πραγματικότητα,399,Society & Relationships,2,,
εντελώς,423,Society & Relationships,2,,
η προσοχή,430,Society & Relationships,2,,
κάποτε,446,Society & Relationships,2,,
η γνώμη,460,Society & Relationships,2,,
ο μυστικός,503,Society & Relationships,2,,
η ανάγκη,531,Society & Relationships,2,,
το παρελθόν,540,Society & Relationships,2,,
ειλικρινά,542,Society & Relationships,2,,
αισθάνομαι / αισθανόμουν,551,Society & Relationships,2,,
η παρέα,555,Society & Relationships,2,,
οι φαίνεσαι,576,Society & Relationships,2,,
η επαφή,577,Society & Relationships,2,,
η φωνή,579,Society & Relationships,2,,
πιστέψω / πίστεψα,603,Society & Relationships,2,,
η ψυχή,615,Society & Relationships,3,,
προσπαθείς,620,Society & Relationships,3,,
καταλάβω / κατέλαβα,645,Society & Relationships,3,,
πράγματι,656,Society & Relationships,3,,
δυστυχώς,671,Society & Relationships,3,,
απόλυτα,679,Society & Relationships,3,,
χειρότερο,685,Society & Relationships,3,,
το πρόσωπό,723,Society & Relationships,3,,
η εποχή,752,Society & Relationships,3,,
η γλώσσα,754,Society & Relationships,3,,
προσωπικά,770,Society & Relationships,3,,
πραγματικός,771,Society & Relationships,3,,
διαφορετικός,820,Society & Relationships,3,,
η εικόνα,821,Society & Relationships,3,,
ειλικρινής,827,Society & Relationships,3,,
καθένας,837,Society & Relationships,3,,
η αίσθηση,858,Society & Relationships,3,,
η πίστη,861,Society & Relationships,3,,
η σκέψη,873,Society & Relationships,3,,
η εμπιστοσύνη,903,Society & Relationships,3,,
φροντίζω / φρόντισα,910,Society & Relationships,3,,
μερικός,941,Society & Relationships,3,,
αγαπητός,958,Society & Relationships,3,,
η συμπεριφορά,959,Society & Relationships,3,,
κατάφερες,972,Society & Relationships,3,,
συνεχώς,985,Society & Relationships,3,,
η κουβέντα,1026,Society & Relationships,3,,
ιδιαίτερα,1038,Society & Relationships,3,,
πιστέψεις,1141,Society & Relationships,3,,
η πράγματά,1142,Society & Relationships,3,,
η θεωρία,1155,Society & Relationships,4,,
η εκδίκηση,1162,Society & Relationships,4,,
η πόρνη,1185,Society & Relationships,4,,
συναντήσω / συνάντησα,1205,Society & Relationships,4,,
διάφορος,1224,Society & Relationships,4,,
λογικός,1267,Society & Relationships,4,,
καταστρέφω / κατέστρεψα,1269,Society & Relationships,4,,
εμπιστεύομαι / εμπιστεύτηκα,1277,Society & Relationships,4,,
θυμωμένος,1293,Society & Relationships,4,,
η βλακεία,1299,Society & Relationships,4,,
η διάθεση,1306,Society & Relationships,4,,
προσωπικός,1307,Society & Relationships,4,,
προσέχω / πρόσεξα,1324,Society & Relationships,4,,
η ανοησία,1330,Society & Relationships,4,,
η νοσοκόμα,1335,Society & Relationships,4,,
η τρέλα,1366,Society & Relationships,4,,
ανθρώπινος,1407,Society & Relationships,4,,
μεθυσμένος,1412,Society & Relationships,4,,
το ανθρώπου,1413,Society & Relationships,4,,
ευτυχισμένος,1420,Society & Relationships,4,,
η εντύπωση,1425,Society & Relationships,4,,
η ουσία,1426,Society & Relationships,4,,
ερωτευμένος,1455,Society & Relationships,4,,
κουρασμένος,1459,Society & Relationships,4,,
η επιθυμία,1466,Society & Relationships,4,,
η αφέντη,1471,Society & Relationships,4,,
νιώθει / ένιωσε,1472,Society & Relationships,4,,
η ρώμη,1474,Society & Relationships,4,,
η ευτυχία,1487,Society & Relationships,4,,
μισεί / μίσησε,1489,Society & Relationships,4,,
το πράμα,1503,Society & Relationships,5,,
υπερβολικά,1505,Society & Relationships,5,,
η άποψη,1559,Society & Relationships,5,,
η αμφιβολία,1569,Society & Relationships,5,,
ανθρώπινη,1572,Society & Relationships,5,,
φυσιολογικός,1585,Society & Relationships,5,,
η γνωριμία,1598,Society & Relationships,5,,
τρομακτικός,1608,Society & Relationships,5,,
η κοινωνία,1609,Society & Relationships,5,,
η φαντασία,1634,Society & Relationships,5,,
αμφιβάλλω / αμφέβαλα,1662,Society & Relationships,5,,
ιδιαίτερο,1704,Society & Relationships,5,,
αποδείξω / απέδειξα,1706,Society & Relationships,5,,
το συναίσθημα,1708,Society & Relationships,5,,
παρόλο,1770,Society & Relationships,5,,
η συναισθήματα,1772,Society & Relationships,5,,
ευχαρίστως,1781,Society & Relationships,5,,
η σοφία,1790,Society & Relationships,5,,
η αυτοκτονία,1806,Society & Relationships,5,,
η ικανότητα,1827,Society & Relationships,5,,
η ευχαρίστηση,1837,Society & Relationships,5,,
η καλοσύνη,1865,Society & Relationships,5,,
ο χαρακτήρας,1867,Society & Relationships,5,,
η επιστήμη,1950,Society & Relationships,5,,
η αντίδραση,1960,Society & Relationships,5,,
ενδιαφέρομαι / ενδιαφέρθηκα,1969,Society & Relationships,5,,
η φιλία,1979,Society & Relationships,5,,
η ασθένεια,1983,Society & Relationships,5,,
