Greek Word,Frequency Rank,Group,Level,French Translation,Part of Speech
η πίστα,3549,Sports (General) - lvl 1,1,la piste,Noun
ο σπορ,3603,Sports (General) - lvl 1,1,le sport,Noun
η εκδρομή,3905,Sports (General) - lvl 1,1,l'excursion,Noun
η τουρνουά,4023,Sports (General) - lvl 1,1,le tournoi,Noun
η παρέλαση,4054,Sports (General) - lvl 1,1,le défilé,Noun
ο σκοπευτής,4075,Sports (General) - lvl 1,1,le tireur,Noun
η ησυχία,630,Outdoors & Nature - lvl 1,1,le calme,Noun
η θάλασσα,699,Outdoors & Nature - lvl 1,1,la mer,Noun
το δάσος,800,Outdoors & Nature - lvl 1,1,la forêt,Noun
το νησί,832,Outdoors & Nature - lvl 1,1,l'île,Noun
το χωριό,930,Outdoors & Nature - lvl 1,1,le village,Noun
το δέντρο,1010,Outdoors & Nature - lvl 1,1,l'arbre,Noun
η φύση,1115,Outdoors & Nature - lvl 1,1,la nature,Noun
η μαγεία,1188,Outdoors & Nature - lvl 1,1,la magie,Noun
το ποτάμι,1220,Outdoors & Nature - lvl 1,1,la rivière,Noun
η λίμνη,1240,Outdoors & Nature - lvl 1,1,le lac,Noun
η ομορφιά,1447,Outdoors & Nature - lvl 1,1,la beauté,Noun
το βουνό,1570,Outdoors & Nature - lvl 1,1,la montagne,Noun
το καταφύγιο,1679,Outdoors & Nature - lvl 1,1,le refuge,Noun
άγρια,1718,Outdoors & Nature - lvl 1,1,sauvage,Adjective
η ακτή,1793,Outdoors & Nature - lvl 1,1,la côte,Noun
το μονοπάτι,1834,Outdoors & Nature - lvl 1,1,le sentier,Noun
πανέμορφη,1842,Outdoors & Nature - lvl 1,1,magnifique (féminin),Adjective
η έρημος,2008,Outdoors & Nature - lvl 1,1,le désert,Noun
πανέμορφο,2033,Outdoors & Nature - lvl 1,1,magnifique (neutre),Adjective
το χιόνι,2115,Outdoors & Nature - lvl 1,1,la neige,Noun
το πέρασμα,2536,Outdoors & Nature - lvl 1,1,le passage,Noun
η σπηλιά,2665,Outdoors & Nature - lvl 1,1,la grotte,Noun
το βάλτο,2712,Outdoors & Nature - lvl 1,1,le marais,Noun
η κοιλάδα,2855,Outdoors & Nature - lvl 1,1,la vallée,Noun
η καλύβα,2885,Outdoors & Nature - lvl 1,1,la cabane,Noun
περπατώ / περπάτησα,3137,Outdoors & Nature - lvl 1,1,marcher,Verb
ο ομίχλης,3416,Outdoors & Nature - lvl 1,1,le brouillard,Noun
ο βράχος,3504,Outdoors & Nature - lvl 1,1,le rocher,Noun
το πάτι,3830,Outdoors & Nature - lvl 1,1,le chemin,Noun
το κολύμπι,3867,Outdoors & Nature - lvl 1,1,la baignade,Noun
η περίπτωση,350,Admin & Bureaucracy - lvl 1,1,le cas,Noun
η ερώτηση,388,Admin & Bureaucracy - lvl 1,1,la question,Noun
η άδεια,445,Admin & Bureaucracy - lvl 1,1,le permis,Noun
η απόφαση,594,Admin & Bureaucracy - lvl 1,1,la décision,Noun
η αναφορά,642,Admin & Bureaucracy - lvl 1,1,le rapport,Noun
η υπηρεσία,751,Admin & Bureaucracy - lvl 1,1,le service,Noun
η διεύθυνση,777,Admin & Bureaucracy - lvl 1,1,l'adresse,Noun
η πρόταση,932,Admin & Bureaucracy - lvl 1,1,la proposition,Noun
η διαταγή,1045,Admin & Bureaucracy - lvl 1,1,l'ordre,Noun
η ευθύνη,1062,Admin & Bureaucracy - lvl 1,1,la responsabilité,Noun
η εντολή,1195,Admin & Bureaucracy - lvl 1,1,le mandat,Noun
η πράξη,1263,Admin & Bureaucracy - lvl 1,1,l'acte (officiel),Noun
οποιονδήποτε,1414,Admin & Bureaucracy - lvl 1,1,n'importe qui,Pronoun
η οδηγία,1421,Admin & Bureaucracy - lvl 1,1,l'instruction,Noun
η επιτροπή,1491,Admin & Bureaucracy - lvl 1,1,le comité,Noun
η δικαιολογία,1593,Admin & Bureaucracy - lvl 1,1,l'excuse,Noun
εφόσον,1614,Admin & Bureaucracy - lvl 1,1,pourvu que,Conjunction
η αίτηση,1626,Admin & Bureaucracy - lvl 1,1,la demande (formulaire),Noun
η επιταγή,1657,Admin & Bureaucracy - lvl 1,1,le chèque,Noun
η εξέταση,1672,Admin & Bureaucracy - lvl 1,1,l'examen,Noun
δημόσιος,1697,Admin & Bureaucracy - lvl 1,1,public,Adjective
άμεσα,1771,Admin & Bureaucracy - lvl 1,1,immédiatement,Adverb
ο ντος,1794,Admin & Bureaucracy - lvl 1,1,le document (abréviation/typo),Noun
το έγγραφο,1822,Admin & Bureaucracy - lvl 1,1,le document,Noun
η κατάθεση,1845,Admin & Bureaucracy - lvl 1,1,le dépôt,Noun
η δήλωση,1963,Admin & Bureaucracy - lvl 1,1,la déclaration,Noun
η υπογραφή,1974,Admin & Bureaucracy - lvl 1,1,la signature,Noun
η προειδοποίηση,2019,Admin & Bureaucracy - lvl 1,1,l'avertissement,Noun
η πρόσκληση,2153,Admin & Bureaucracy - lvl 1,1,l'invitation,Noun
η διοίκηση,2292,Admin & Bureaucracy - lvl 1,1,l'administration,Noun
η λεφτά,151,Economy & Money - lvl 1,1,l'argent,Noun
το χρήμα,253,Economy & Money - lvl 1,1,l'argent,Noun
η τράπεζα,764,Economy & Money - lvl 1,1,la banque,Noun
ο λογαριασμός,890,Economy & Money - lvl 1,1,le compte,Noun
επιπλέον,1037,Economy & Money - lvl 1,1,en plus,Adverb
πληρώσω / πλήρωσα,1039,Economy & Money - lvl 1,1,payer (subjonctif/aoriste),Verb
πληρώνω / πλήρωσα,1109,Economy & Money - lvl 1,1,payer,Verb
η αγορά,1161,Economy & Money - lvl 1,1,le marché,Noun
η μετρητα,1206,Economy & Money - lvl 1,1,les espèces (cash),Noun
η αξία,1262,Economy & Money - lvl 1,1,la valeur,Noun
η περιουσία,1360,Economy & Money - lvl 1,1,le patrimoine,Noun
η δεκάρα,1497,Economy & Money - lvl 1,1,le sou,Noun
η τσέπη,1537,Economy & Money - lvl 1,1,la poche,Noun
το αντάλλαγμα,1778,Economy & Money - lvl 1,1,l'échange,Noun
οικονομικά,1924,Economy & Money - lvl 1,1,finances,Noun
εμπορικός,2368,Economy & Money - lvl 1,1,commercial,Adjective
το κόστος,2412,Economy & Money - lvl 1,1,le coût,Noun
η προμήθεια,2559,Economy & Money - lvl 1,1,la commission,Noun
η πώληση,2646,Economy & Money - lvl 1,1,la vente,Noun
το μάρκο,2704,Economy & Money - lvl 1,1,le mark (monnaie),Noun
η κέρδη,2788,Economy & Money - lvl 1,1,les bénéfices,Noun
το κέρδος,2790,Economy & Money - lvl 1,1,le bénéfice,Noun
η παραγωγή,2808,Economy & Money - lvl 1,1,la production,Noun
το μερίδιο,2842,Economy & Money - lvl 1,1,la part,Noun
πιστωτικός,2876,Economy & Money - lvl 1,1,de crédit,Adjective
ο χρημάτων,2961,Economy & Money - lvl 1,1,de l'argent (génitif),Noun
οικονομικός,3027,Economy & Money - lvl 1,1,économique,Adjective
καύσιμα,3045,Economy & Money - lvl 1,1,carburant,Noun
η οικονομία,3133,Economy & Money - lvl 1,1,l'économie,Noun
οι καταθέσεις,3188,Economy & Money - lvl 1,1,les dépôts (bancaires),Noun
και,4,Society & Relationships - lvl 1,1,et,Conjunction
όχι,15,Society & Relationships - lvl 1,1,non,Adverb
αλλά,19,Society & Relationships - lvl 1,1,mais,Conjunction
πολύ,22,Society & Relationships - lvl 1,1,beaucoup,Adverb
γιατί,23,Society & Relationships - lvl 1,1,pourquoi,Conjunction
τόσο,49,Society & Relationships - lvl 1,1,tellement,Adverb
ακόμα,55,Society & Relationships - lvl 1,1,encore,Adverb
ίσως,60,Society & Relationships - lvl 1,1,peut-être,Adverb
πάντα,69,Society & Relationships - lvl 1,1,toujours,Adverb
η αλήθεια,75,Society & Relationships - lvl 1,1,la vérité,Noun
το παιδί,78,Society & Relationships - lvl 1,1,l'enfant,Noun
η ζωή,80,Society & Relationships - lvl 1,1,la vie,Noun
επειδή,85,Society & Relationships - lvl 1,1,parce que,Conjunction
κάποιος,95,Society & Relationships - lvl 1,1,quelqu'un,Pronoun
το πράγμα,97,Society & Relationships - lvl 1,1,la chose,Noun
όμως,99,Society & Relationships - lvl 1,1,cependant,Conjunction
η γυναίκα,102,Society & Relationships - lvl 1,1,la femme,Noun
ακριβώς,107,Society & Relationships - lvl 1,1,exactement,Adverb
φυσικά,121,Society & Relationships - lvl 1,1,naturellement,Adverb
η στιγμή,125,Society & Relationships - lvl 1,1,le moment,Noun
πραγματικά,134,Society & Relationships - lvl 1,1,vraiment,Adverb
πιστεύω / πίστευσα,138,Society & Relationships - lvl 1,1,croire,Verb
η μητέρα,141,Society & Relationships - lvl 1,1,la mère,Noun
η ιδέα,145,Society & Relationships - lvl 1,1,l'idée,Noun
σίγουρα,150,Society & Relationships - lvl 1,1,sûrement,Adverb
μάλλον,153,Society & Relationships - lvl 1,1,probablement,Adverb
σημαίνω / σήμανα,155,Society & Relationships - lvl 1,1,signifier,Verb
ο κόσμος,164,Society & Relationships - lvl 1,1,le monde,Noun
η αγάπη,172,Society & Relationships - lvl 1,1,l'amour,Noun
ο άνθρωπος,174,Society & Relationships - lvl 1,1,l'homme (humain),Noun
σήμερα,110,Geopolitics & News - lvl 1,1,aujourd'hui,Adverb
μάλιστα,190,Geopolitics & News - lvl 1,1,en effet,Adverb
δηλαδή,247,Geopolitics & News - lvl 1,1,c'est-à-dire,Adverb
η σημασία,301,Geopolitics & News - lvl 1,1,l'importance,Noun
η κατάσταση,308,Geopolitics & News - lvl 1,1,la situation,Noun
τελικά,331,Geopolitics & News - lvl 1,1,finalement,Adverb
η δύναμη,339,Geopolitics & News - lvl 1,1,le pouvoir,Noun
η χώρα,366,Geopolitics & News - lvl 1,1,le pays,Noun
πλέον,370,Geopolitics & News - lvl 1,1,désormais,Adverb
η συμφωνία,391,Geopolitics & News - lvl 1,1,l'accord,Noun
παρά,397,Geopolitics & News - lvl 1,1,malgré,Preposition
η πλευρά,417,Geopolitics & News - lvl 1,1,le côté,Noun
υποτίθεται / υποτίθετο,459,Geopolitics & News - lvl 1,1,supposer,Verb
ο πόλεμος,464,Geopolitics & News - lvl 1,1,la guerre,Noun
η επίθεση,518,Geopolitics & News - lvl 1,1,l'attaque,Noun
ο γεγονός,601,Geopolitics & News - lvl 1,1,l'événement,Noun
η διαφορά,666,Geopolitics & News - lvl 1,1,la différence,Noun
η τάξη,689,Geopolitics & News - lvl 1,1,l'ordre,Noun
η αμερική,705,Geopolitics & News - lvl 1,1,l'Amérique,Noun
ο στρατός,795,Geopolitics & News - lvl 1,1,l'armée,Noun
επικίνδυνο,801,Geopolitics & News - lvl 1,1,dangereux,Adjective
η πιθανότητα,921,Geopolitics & News - lvl 1,1,la probabilité,Noun
το αποτέλεσμα,983,Geopolitics & News - lvl 1,1,le résultat,Noun
η ειρήνη,1000,Geopolitics & News - lvl 1,1,la paix,Noun
η πορεία,1014,Geopolitics & News - lvl 1,1,le cours (évolution),Noun
η ελευθερία,1063,Geopolitics & News - lvl 1,1,la liberté,Noun
η πολιτική,1071,Geopolitics & News - lvl 1,1,la politique,Noun
η καταστροφή,1075,Geopolitics & News - lvl 1,1,la catastrophe,Noun
η κρίση,1090,Geopolitics & News - lvl 1,1,la crise,Noun
απέναντι,1104,Geopolitics & News - lvl 1,1,en face,Preposition
η αστυνομία,229,Politics & Justice - lvl 1,1,la police,Noun
προφανώς,389,Politics & Justice - lvl 1,1,apparemment,Adverb
το δικαίωμα,597,Politics & Justice - lvl 1,1,le droit,Noun
το δικαστήριο,674,Politics & Justice - lvl 1,1,le tribunal,Noun
η κυβέρνηση,789,Politics & Justice - lvl 1,1,le gouvernement,Noun
βεβαίως,818,Politics & Justice - lvl 1,1,bien sûr,Adverb
το δίκαιο,953,Politics & Justice - lvl 1,1,la justice (le droit),Noun
εξάλλου,1044,Politics & Justice - lvl 1,1,par ailleurs,Adverb
το συμβούλιο,1073,Politics & Justice - lvl 1,1,le conseil,Noun
ο νόμος,1198,Politics & Justice - lvl 1,1,la loi,Noun
το καθήκον,1228,Politics & Justice - lvl 1,1,le devoir,Noun
το ένταλμα,1301,Politics & Justice - lvl 1,1,le mandat (d'arrêt),Noun
η δικαιοσύνη,1322,Politics & Justice - lvl 1,1,la justice,Noun
η εξουσία,1419,Politics & Justice - lvl 1,1,le pouvoir,Noun
ο δικαστής,1457,Politics & Justice - lvl 1,1,le juge,Noun
η δικαστή,1473,Politics & Justice - lvl 1,1,la juge,Noun
παρεμπιπτόντως,1576,Politics & Justice - lvl 1,1,au fait,Adverb
ο πολίτης,1658,Politics & Justice - lvl 1,1,le citoyen,Noun
το ζήτημα,1713,Politics & Justice - lvl 1,1,la question (le problème),Noun
ο εισαγγελέας,2035,Politics & Justice - lvl 1,1,le procureur,Noun
το υπουργείο,2139,Politics & Justice - lvl 1,1,le ministère,Noun
ξεκάθαρα,2443,Politics & Justice - lvl 1,1,clairement,Adverb
κατηγορώ / κατηγόρησα,2506,Politics & Justice - lvl 1,1,accuser,Verb
η εκλογή,2527,Politics & Justice - lvl 1,1,l'élection,Noun
το δανειστώ,2847,Politics & Justice - lvl 1,1,emprunter,Verb
το κόμμα,2918,Politics & Justice - lvl 1,1,le parti (politique),Noun
ένορκος,2964,Politics & Justice - lvl 1,1,juré,Noun
ο υπουργός,3053,Politics & Justice - lvl 1,1,le ministre,Noun
η καταδίκη,3503,Politics & Justice - lvl 1,1,la condamnation,Noun
οι παραιτούμαι,3842,Politics & Justice - lvl 1,1,je démissionne,Verb
η πόλη,192,Urban Life - lvl 1,1,la ville,Noun
το νοσοκομείο,362,Urban Life - lvl 1,1,l'hôpital,Noun
η περιοχή,427,Urban Life - lvl 1,1,la région (quartier),Noun
το κέντρο,475,Urban Life - lvl 1,1,le centre,Noun
το διαμέρισμα,667,Urban Life - lvl 1,1,l'appartement,Noun
η εκκλησία,704,Urban Life - lvl 1,1,l'église,Noun
το κτίριο,744,Urban Life - lvl 1,1,le bâtiment,Noun
η αίθουσα,839,Urban Life - lvl 1,1,la salle,Noun
ο σταθμός,916,Urban Life - lvl 1,1,la station (de train),Noun
η γέφυρα,922,Urban Life - lvl 1,1,le pont,Noun
βόρεια,1036,Urban Life - lvl 1,1,nord,Noun
η παραλία,1087,Urban Life - lvl 1,1,la plage,Noun
η μαρία,1110,Urban Life - lvl 1,1,Maria (prénom),Noun
το πάρκο,1111,Urban Life - lvl 1,1,le parc,Noun
η παρασκευή,1128,Urban Life - lvl 1,1,vendredi,Noun
η πύλη,1133,Urban Life - lvl 1,1,la porte,Noun
η μονάδα,1143,Urban Life - lvl 1,1,l'unité,Noun
το αεροδρόμιο,1157,Urban Life - lvl 1,1,l'aéroport,Noun
η αποθήκη,1167,Urban Life - lvl 1,1,l'entrepôt,Noun
η γειτονιά,1191,Urban Life - lvl 1,1,le quartier,Noun
η παράδοση,1460,Urban Life - lvl 1,1,la livraison,Noun
το εργοστάσιο,1604,Urban Life - lvl 1,1,l'usine,Noun
η είσοδος,1646,Urban Life - lvl 1,1,l'entrée,Noun
η τοποθεσία,1667,Urban Life - lvl 1,1,l'emplacement,Noun
η κατεύθυνση,1678,Urban Life - lvl 1,1,la direction,Noun
το κατάστημα,1686,Urban Life - lvl 1,1,le magasin,Noun
τα διαμέρισμά,1716,Urban Life - lvl 1,1,l'appartement (possessif),Noun
η βιβλιοθήκη,1747,Urban Life - lvl 1,1,la bibliothèque,Noun
το παρκ,1785,Urban Life - lvl 1,1,le parc (anglicisme),Noun
το μουσείο,2085,Urban Life - lvl 1,1,le musée,Noun
η δουλειά,74,Work & Business - lvl 1,1,le travail,Noun
η θέση,183,Work & Business - lvl 1,1,le poste,Noun
η βοήθεια,206,Work & Business - lvl 1,1,l'aide,Noun
το γραφείο,240,Work & Business - lvl 1,1,le bureau,Noun
η υπόθεση,273,Work & Business - lvl 1,1,l'affaire,Noun
η συνέχεια,292,Work & Business - lvl 1,1,la suite,Noun
η επιλογή,358,Work & Business - lvl 1,1,le choix,Noun
η αποστολή,474,Work & Business - lvl 1,1,la mission,Noun
η έρευνα,497,Work & Business - lvl 1,1,la recherche,Noun
η απάντηση,552,Work & Business - lvl 1,1,la réponse,Noun
η κίνηση,590,Work & Business - lvl 1,1,le mouvement,Noun
η συνάντηση,623,Work & Business - lvl 1,1,la réunion,Noun
το προσωπικό,633,Work & Business - lvl 1,1,le personnel,Noun
η επιχείρηση,684,Work & Business - lvl 1,1,l'entreprise,Noun
η εταιρεία,690,Work & Business - lvl 1,1,la société (entreprise),Noun
η εταιρία,763,Work & Business - lvl 1,1,la société (variante),Noun
η συζήτηση,767,Work & Business - lvl 1,1,la discussion,Noun
η προσφορά,834,Work & Business - lvl 1,1,l'offre,Noun
η ενέργεια,868,Work & Business - lvl 1,1,l'action (énergie),Noun
το εργαστήριο,896,Work & Business - lvl 1,1,le laboratoire,Noun
η προσπάθεια,905,Work & Business - lvl 1,1,l'effort,Noun
η εμπειρία,928,Work & Business - lvl 1,1,l'expérience,Noun
η διαδικασία,970,Work & Business - lvl 1,1,le processus,Noun
η εργασία,981,Work & Business - lvl 1,1,le travail (tâche),Noun
η συνέντευξη,1009,Work & Business - lvl 1,1,l'entretien,Noun
η επιτυχία,1017,Work & Business - lvl 1,1,le succès,Noun
η συμβουλή,1052,Work & Business - lvl 1,1,le conseil,Noun
η σχολή,1213,Work & Business - lvl 1,1,l'école (faculté),Noun
το συμβόλαιο,1387,Work & Business - lvl 1,1,le contrat,Noun
η έκθεση,1439,Work & Business - lvl 1,1,le rapport (rapport),Noun
επίσης,207,Digital & Tech - lvl 1,1,aussi,Adverb
σχετικά,376,Digital & Tech - lvl 1,1,concernant,Adverb
η πληροφορία,436,Digital & Tech - lvl 1,1,l'information,Noun
το σύστημα,461,Digital & Tech - lvl 1,1,le système,Noun
το πρόγραμμα,583,Digital & Tech - lvl 1,1,le programme,Noun
διαφορετικά,593,Digital & Tech - lvl 1,1,autrement,Adverb
η μηχανή,618,Digital & Tech - lvl 1,1,la machine,Noun
το κινητό,622,Digital & Tech - lvl 1,1,le portable (téléphone),Noun
το αρχείο,696,Digital & Tech - lvl 1,1,le fichier,Noun
ο συγχρονισμός,724,Digital & Tech - lvl 1,1,la synchronisation,Noun
λειτουργώ / λειτούργησα,876,Digital & Tech - lvl 1,1,fonctionner,Verb
ο υπολογιστής,919,Digital & Tech - lvl 1,1,l'ordinateur,Noun
η πρόσβαση,951,Digital & Tech - lvl 1,1,l'accès,Noun
χρησιμοποιώ / χρησιμοποίησα,1033,Digital & Tech - lvl 1,1,utiliser,Verb
η ταχύτητα,1048,Digital & Tech - lvl 1,1,la vitesse,Noun
οποιοσδήποτε,1066,Digital & Tech - lvl 1,1,n'importe quel,Pronoun
κατάλληλη,1174,Digital & Tech - lvl 1,1,appropriée (féminin),Adjective
το ελέγχου,1180,Digital & Tech - lvl 1,1,le contrôle,Noun
προσεκτικά,1225,Digital & Tech - lvl 1,1,attentivement,Adverb
επιτρέπω / επέτρεψα,1238,Digital & Tech - lvl 1,1,permettre,Verb
η συσκευή,1325,Digital & Tech - lvl 1,1,l'appareil,Noun
η τεχνολογία,1492,Digital & Tech - lvl 1,1,la technologie,Noun
η χρήση,1517,Digital & Tech - lvl 1,1,l'utilisation,Noun
το υλικό,1532,Digital & Tech - lvl 1,1,le matériel,Noun
οπουδήποτε,1558,Digital & Tech - lvl 1,1,n'importe où,Adverb
το μοντέλο,1582,Digital & Tech - lvl 1,1,le modèle,Noun
οποιοδήποτε,1625,Digital & Tech - lvl 1,1,n'importe quoi,Pronoun
οι μηχανές,1670,Digital & Tech - lvl 1,1,les machines,Noun
οι χρησιμοποιήσεις,1688,Digital & Tech - lvl 1,1,les utilisations,Noun
η σύνδεση,1689,Digital & Tech - lvl 1,1,la connexion,Noun
οι αφήσεις,363,Holidays & Travel - lvl 1,1,les départs,Noun
οι βοηθήσεις,437,Holidays & Travel - lvl 1,1,les aides,Noun
το ταξίδι,443,Holidays & Travel - lvl 1,1,le voyage,Noun
οι σκοτώσεις,517,Holidays & Travel - lvl 1,1,les meurtres,Noun
το ξενοδοχείο,538,Holidays & Travel - lvl 1,1,l'hôtel,Noun
οι σταματήσεις,607,Holidays & Travel - lvl 1,1,les arrêts,Noun
επιστρέψω / επέστρεψα,632,Holidays & Travel - lvl 1,1,retourner (subjonctif),Verb
οι γυρίσεις,766,Holidays & Travel - lvl 1,1,les retours,Noun
επιστρέφω / επέστρεψα,799,Holidays & Travel - lvl 1,1,retourner,Verb
οι διακοπές,826,Holidays & Travel - lvl 1,1,les vacances,Noun
οι περάσεις,852,Holidays & Travel - lvl 1,1,les passages,Noun
η κράτηση,900,Holidays & Travel - lvl 1,1,la réservation,Noun
οι χάσεις,907,Holidays & Travel - lvl 1,1,les pertes,Noun
το παράδειγμα,908,Holidays & Travel - lvl 1,1,l'exemple,Noun
το εστιατόριο,968,Holidays & Travel - lvl 1,1,le restaurant,Noun
οι ξεχάσεις,1074,Holidays & Travel - lvl 1,1,les oublis,Noun
η διασκέδαση,1176,Holidays & Travel - lvl 1,1,l'amusement,Noun
οι ζήσεις,1248,Holidays & Travel - lvl 1,1,les vies,Noun
οι πληρώσεις,1321,Holidays & Travel - lvl 1,1,les paiements,Noun
οι σώσεις,1339,Holidays & Travel - lvl 1,1,les sauvetages,Noun
οι αναμνήσεις,1342,Holidays & Travel - lvl 1,1,les souvenirs,Noun
εξαιρετικά,1344,Holidays & Travel - lvl 1,1,exceptionnellement,Adverb
οι συνεχίσεις,1348,Holidays & Travel - lvl 1,1,les suites,Noun
η επιστροφή,1403,Holidays & Travel - lvl 1,1,le retour,Noun
οι αρχίσεις,1485,Holidays & Travel - lvl 1,1,les débuts,Noun
προσφέρω / πρόσφερα,1488,Holidays & Travel - lvl 1,1,offrir,Verb
οι γνωρίσεις,1548,Holidays & Travel - lvl 1,1,les connaissances,Noun
ο παράδεισος,1665,Holidays & Travel - lvl 1,1,le paradis,Noun
προσπαθήσεις,1696,Holidays & Travel - lvl 1,1,essayer (subjonctif),Verb
οι νιώσεις,1707,Holidays & Travel - lvl 1,1,les sensations,Noun
